호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
1호선,서울역,1130,46,11962,8850,14685,54148,39373,104983,70917,213503,53141,151009,60296,80040,80780,76772,92073,82192,91195,83637,78449,78515,103289,82280,112319,84189,147834,90818,214582,98034,126155,77188,89856,53999,95063,50609,67344,39315,29677,21974,3885,8217,0,478,0,0,0,0
1호선,시청,70,2,2724,4334,3789,22802,7713,66957,10153,175570,13102,76637,15545,42637,21192,39910,24526,38349,31106,41335,36552,34041,45049,28614,51554,26509,69300,26533,140526,29731,69033,17053,53876,10390,56076,9493,38766,7784,15830,4916,1152,1620,2,15,1,2,0,0
1호선,종각,121,6,4880,4904,4962,31496,6995,95818,11764,253168,15140,147920,20126,73233,31162,68235,39696,66440,54502,66246,62586,55897,75755,49446,84866,50444,122806,57884,218883,76027,119344,49116,99247,20605,117526,13082,98491,9187,48093,6001,4424,1641,2,1,2,0,0,0
1호선,종로3가,188,7,6387,2969,4740,13773,6674,30929,11165,81921,16195,93163,25682,79168,39532,84880,51699,85379,65313,83975,73800,74397,80175,62962,88646,54924,94373,53520,118436,57895,91484,36873,68535,16290,74942,11821,62145,9394,29285,6620,3247,2852,0,42,0,0,0,0
1호선,종로5가,42,0,2267,3848,3245,17995,5628,43568,10070,115237,14805,74732,24004,61037,34162,65165,44615,62559,55352,57461,62746,52328,66112,46477,67508,41764,78427,38511,110512,35240,66254,23484,43456,11310,36791,7997,28083,5715,11067,3739,696,1200,5,9,0,0,0,0
1호선,동대문,645,11,16366,2847,12774,9070,19624,16125,26021,32499,24312,33048,22339,33884,23354,38080,29207,37456,31591,36278,32396,34392,32063,32296,33066,30819,33435,30506,33370,30818,24730,32143,20142,25033,18422,19609,16071,17541,8967,14348,883,4723,3,55,0,0,0,0
1호선,신설동,297,27,9765,2591,10974,9424,21013,30796,28794,70634,22762,42081,20940,26549,23513,23611,25413,22661,27354,23888,27145,21888,28744,23243,33206,23207,42059,28026,64947,29717,31011,23992,20830,16737,18660,16114,13989,15686,6235,12368,532,3086,0,2,0,0,0,0
1호선,제기동,414,2,5729,2727,10268,9968,24493,20553,32884,51400,26627,45319,30663,46597,39073,53481,43564,60165,47230,62885,52198,55343,59439,47277,62200,40332,55235,32790,53266,31021,29861,23689,18389,14342,13176,12570,9077,11818,4059,9061,292,1935,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1332,45,13437,4162,19099,14698,46524,24737,63556,44166,44989,45046,38987,44081,43566,50847,48041,57460,49590,61994,51879,61212,59307,57677,65963,55775,64731,57149,57666,66473,38838,53324,33457,33005,24895,29236,17181,30077,8183,20437,530,6755,1,1,1,0,0,0
1호선,동묘앞,144,3,3504,1021,3978,4215,7235,12121,9788,28153,9677,19772,11642,22092,17169,27305,21240,29326,27731,32745,31125,31503,32683,27531,33488,22815,32472,18335,30216,13550,17068,9305,9353,6787,7290,6649,5096,6950,2463,4814,268,3541,2,242,0,0,0,0
2호선,시청,67,3,1326,2073,2506,18583,5662,69252,8539,209328,11859,85477,16608,29915,24217,28744,25203,27772,31202,30906,35593,27052,40102,23944,45418,22621,70606,23674,168187,25643,73126,16171,47598,9715,44923,9431,31893,8542,14892,6236,2085,1859,2483,174,3082,65,8,35
2호선,을지로입구,89,9,3376,3910,3825,35675,9112,126311,16370,302224,22250,155585,29535,87971,40434,94768,47818,75826,63330,77424,72199,69005,85580,66118,102048,65272,131921,66878,276935,75152,155211,49470,142341,28798,119333,22834,85447,18864,42943,12745,4927,5163,197,1176,289,72,15,23
