측정망,측정소명,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일
도시대기,[서울 강남구]강남구,12,17,21,18,23,17,14,12,10,3,15,31,30,20,15,20,20,19,19,22,19,35,40,32,15,4,9,10,13,18
도시대기,[서울 강동구]강동구,13,18,24,20,22,17,14,12,8,4,14,27,28,21,15,18,20,20,17,23,19,33,39,31,14,3,9,12,16,19
도시대기,[서울 강북구]강북구,12,15,20,17,18,15,12,12,9,2,12,25,26,19,15,19,16,18,16,21,18,28,35,29,14,2,8,13,12,16
도시대기,[서울 강서구]강서구,10,15,20,18,21,21,13,12,10,3,16,32,32,19,15,23,21,20,22,22,22,37,45,32,18,7,8,11,14,18
도시대기,[서울 관악구]관악구,13,19,27,25,34,27,22,13,12,7,24,37,37,26,19,26,21,32,32,29,31,59,52,53,24,9,12,14,22,27
도시대기,[서울 광진구]광진구,13,18,24,21,27,19,18,13,10,6,19,36,33,23,18,22,22,28,26,32,34,53,52,50,19,7,13,15,21,24
도시대기,[서울 구로구]구로구,7,13,20,17,24,21,15,9,8,3,18,35,31,20,17,24,20,,26,32,30,60,62,56,26,10,12,12,20,27
도시대기,[서울 금천구]금천구,14,19,22,20,23,20,16,14,13,6,17,28,27,21,18,21,18,20,20,23,22,32,33,30,18,9,12,14,16,19
도시대기,[서울 노원구]노원구,15,18,23,22,21,18,14,14,12,5,15,27,30,22,17,23,21,22,19,23,20,31,41,36,17,5,11,13,15,20
도시대기,[서울 도봉구]도봉구,10,14,19,18,20,17,15,9,8,4,15,27,27,18,16,21,16,22,22,24,24,41,42,43,16,3,10,11,14,20
도시대기,[서울 동대문구]동대문구,11,16,20,17,19,15,14,11,8,2,12,27,27,17,15,19,17,16,15,19,16,28,36,31,12,3,9,10,12,16
도시대기,[서울 동작구]동작구,13,18,23,20,25,20,18,13,12,4,16,28,25,21,16,21,19,21,21,22,21,36,37,32,17,6,10,12,16,19
도시대기,[서울 마포구]마포구,12,17,23,21,28,24,19,14,11,7,21,38,35,22,18,25,21,29,29,29,31,53,59,53,24,8,12,15,20,26
도시대기,[서울 서대문구]서대문구,13,17,23,20,25,19,18,13,8,6,18,36,34,22,18,22,18,28,24,29,31,48,49,51,20,8,10,13,16,23
도시대기,[서울 서초구]서초구,12,17,25,21,30,23,24,15,13,8,23,36,32,24,17,24,24,32,31,32,35,56,55,54,25,10,13,15,23,27
도시대기,[서울 성동구]성동구,13,18,25,21,27,20,18,12,10,5,20,35,31,22,16,20,19,28,25,28,31,49,48,48,19,6,10,12,17,22
도시대기,[서울 성북구]성북구,12,15,19,17,20,16,13,13,10,6,16,25,22,18,17,18,19,22,17,22,19,30,40,33,13,5,11,12,16,20
도시대기,[서울 송파구]송파구,14,18,24,21,26,21,18,14,12,8,21,32,31,23,17,23,21,30,27,29,32,48,50,45,22,10,14,15,21,25
도시대기,[서울 양천구]양천구,11,16,21,19,24,21,14,13,11,4,17,32,33,20,16,23,21,21,22,23,22,37,45,35,18,7,10,12,15,19
도시대기,[서울 영등포구]영등포구,15,21,29,28,33,28,23,16,14,10,27,43,40,19,19,30,25,31,39,32,37,59,61,57,26,14,15,16,24,30
도시대기,[서울 용산구]용산구,11,15,21,17,21,15,14,11,8,2,13,28,27,19,14,19,19,17,16,20,18,32,39,31,13,3,7,10,11,17
