측정망,측정소명,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
도시대기,[서울 강남구]강남구,30,28,33,33,26,25,38,43,43,29,15,16,14,23,19,14,24,35,24,10,18,18,29,38,34,34,25,9,18,31,29
도시대기,[서울 강동구]강동구,34,33,38,39,33,31,40,48,46,25,15,15,15,21,18,15,24,31,24,10,19,18,29,36,34,32,19,9,17,26,26
도시대기,[서울 강북구]강북구,33,32,33,38,30,30,38,43,37,26,14,17,14,22,18,15,22,31,27,11,21,18,28,33,31,31,19,8,16,28,27
도시대기,[서울 강서구]강서구,32,27,32,34,24,27,35,49,43,33,12,12,12,19,15,12,22,35,23,9,17,16,29,35,29,29,22,8,16,23,26
도시대기,[서울 관악구]관악구,32,27,32,30,24,25,40,42,37,29,12,12,11,19,15,12,21,31,21,10,16,15,27,33,27,27,18,7,15,24,23
도시대기,[서울 광진구]광진구,34,27,33,33,24,27,40,47,45,24,10,13,12,20,15,8,24,35,23,7,19,17,28,35,30,32,20,5,15,28,27
도시대기,[서울 구로구]구로구,43,29,36,34,24,32,44,56,49,42,11,14,12,17,19,12,26,36,23,10,22,17,29,35,29,32,25,8,17,31,27
도시대기,[서울 금천구]금천구,36,31,35,37,28,28,43,49,40,34,15,14,14,22,19,14,26,33,27,10,17,18,29,36,32,27,22,9,19,27,26
도시대기,[서울 노원구]노원구,34,33,35,39,31,30,38,45,43,27,16,16,15,22,19,15,23,36,25,11,19,18,28,34,31,31,20,9,18,27,27
도시대기,[서울 도봉구]도봉구,33,27,33,32,23,27,38,45,37,24,10,15,12,20,16,10,21,34,25,8,18,15,26,30,27,30,18,7,15,26,25
도시대기,[서울 동대문구]동대문구,28,23,28,29,22,23,34,38,34,21,9,11,10,16,14,9,18,30,19,6,13,13,23,28,26,27,16,5,13,23,23
도시대기,[서울 동작구]동작구,39,33,38,40,30,30,46,47,44,36,14,14,15,22,20,14,25,32,26,10,17,19,30,37,31,32,26,10,20,33,31
도시대기,[서울 마포구]마포구,35,26,32,33,26,27,41,48,48,35,11,12,12,21,16,11,21,34,21,7,15,15,27,34,30,30,23,7,16,27,25
도시대기,[서울 서대문구]서대문구,35,27,33,34,30,33,40,45,42,46,12,16,14,23,20,13,26,39,26,9,21,18,30,32,29,31,27,6,16,30,26
도시대기,[서울 서초구]서초구,40,29,36,33,24,28,43,50,53,38,13,16,14,24,20,12,30,38,30,10,24,21,31,40,33,38,28,8,19,35,31
도시대기,[서울 성동구]성동구,32,28,32,34,27,26,41,43,44,27,13,14,13,20,17,12,22,33,23,10,17,16,28,35,31,30,19,8,16,27,27
도시대기,[서울 성북구]성북구,30,26,32,31,23,27,37,43,35,24,9,14,11,20,17,10,23,31,24,8,20,14,24,29,27,29,16,5,16,25,24
도시대기,[서울 송파구]송파구,32,30,32,34,28,26,36,43,43,29,14,12,14,18,17,12,20,29,21,9,17,16,26,35,30,30,19,8,15,25,26
도시대기,[서울 양천구]양천구,35,31,36,38,28,29,40,51,47,35,13,14,13,20,16,13,25,40,25,9,18,17,32,38,33,34,25,8,18,29,28
도시대기,[서울 영등포구]영등포구,35,28,33,34,25,27,39,46,45,34,12,12,12,20,16,11,22,33,22,8,16,15,28,35,29,31,20,7,16,27,26
도시대기,[서울 용산구]용산구,30,28,30,34,27,25,37,38,39,28,12,13,11,19,15,11,21,28,22,8,16,16,26,34,29,29,19,7,15,24,24
도시대기,[서울 은평구]은평구,31,24,30,31,24,25,40,42,38,32,11,12,8,19,20,11,23,35,25,8,19,18,25,30,27,26,27,6,14,29,26
도시대기,[서울 종로구]종로구,32,30,34,37,29,29,39,41,40,31,14,15,13,21,18,14,23,36,25,10,17,17,29,35,31,31,20,9,18,28,27
도시대기,[서울 중구]중구,37,31,37,39,31,31,44,47,45,34,14,16,15,23,20,14,26,40,26,10,18,18,31,38,33,36,25,9,19,31,29
도시대기,[서울 중랑구]중랑구,30,27,30,33,27,25,34,40,37,23,12,13,12,19,17,12,21,31,23,10,,,31,32,29,31,19,8,16,25,25
도로변대기,[서울 강남구]도산대로,30,21,28,26,17,22,35,42,40,28,7,8,8,16,13,6,7,11,19,4,16,14,25,32,29,34,25,7,16,30,29
도로변대기,[서울 강동구]천호대로,31,28,33,33,27,27,37,45,46,24,13,14,14,21,17,12,21,31,22,9,16,16,26,33,31,30,20,8,15,26,26
도로변대기,[서울 강서구]공항대로,31,27,32,35,25,28,42,49,43,33,13,13,12,20,16,14,23,35,23,9,16,15,29,35,30,31,21,8,16,25,26
도로변대기,[서울 금천구]시흥대로,35,30,33,36,27,28,42,50,44,35,13,13,13,19,18,14,23,32,25,11,18,17,29,38,33,30,23,9,19,28,26
도로변대기,[서울 노원구]화랑로,30,24,29,28,21,26,33,38,36,21,9,14,10,18,16,9,22,33,34,7,20,16,25,28,26,30,20,6,14,25,25
도로변대기,[서울 동대문구]홍릉로,33,26,31,33,26,26,36,41,38,24,12,13,12,19,16,11,22,33,21,9,16,16,26,32,29,31,18,7,15,26,25
도로변대기,[서울 동작구]동작대로 중앙차로,38,29,35,34,27,31,44,48,46,34,13,16,15,25,19,14,17,20,28,12,22,19,32,39,31,35,26,8,19,33,33
도로변대기,[서울 마포구]신촌로,36,29,34,36,28,29,42,48,44,35,14,14,15,23,19,14,24,37,24,10,18,18,32,38,33,33,27,10,18,30,28
도로변대기,[서울 서초구]강남대로,31,25,28,28,20,25,36,41,40,29,9,11,7,19,15,8,22,28,22,7,17,15,24,32,25,27,23,5,15,27,27
도로변대기,[서울 성동구]강변북로,30,24,31,30,22,26,38,43,42,32,6,12,11,18,15,9,19,30,19,6,13,12,26,32,27,27,19,5,13,26,25
도로변대기,[서울 성북구]정릉로,37,29,35,36,26,32,42,48,39,25,12,17,15,23,21,14,28,42,44,8,22,19,29,34,33,35,22,9,19,31,30
도로변대기,[서울 영등포구]영등포로,41,31,38,38,28,30,43,52,51,39,14,15,15,24,19,14,26,39,26,10,18,18,31,37,33,35,26,9,17,30,27
도로변대기,[서울 용산구]한강대로,33,28,34,34,26,29,43,46,43,32,14,15,13,21,17,14,23,36,24,12,17,16,30,36,33,34,20,8,17,29,28
도로변대기,[서울 종로구]종로,35,29,35,36,29,29,40,42,43,31,16,16,15,22,20,15,25,36,28,11,19,19,28,34,30,33,24,10,18,29,28
도로변대기,[서울 중구]청계천로,34,29,33,49,33,33,46,48,48,33,17,18,17,24,21,16,26,40,29,13,20,20,32,39,35,37,26,12,21,33,33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
