호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
1호선,서울역,1148,27,10846,8729,14256,51270,41401,105163,83916,227257,63541,161660,72014,90340,89984,83152,99491,91247,102786,96669,87786,89747,117485,90297,121592,95922,162133,103640,239787,107663,143056,82322,100632,59128,101449,50168,75256,38832,36468,20773,3569,7421,0,417,0,0,0,0
1호선,시청,99,1,2722,4430,3650,23998,8512,68867,11593,197063,15046,85538,18492,49618,23659,47682,26988,46251,34792,50427,43177,43699,55103,34250,61429,29045,83525,28833,160348,28933,73227,16819,57283,9743,57437,8856,37235,7287,14002,4760,812,1402,1,39,0,0,0,0
1호선,종각,98,4,4286,4945,4517,28843,7278,100989,12637,279180,16144,158898,22141,77687,33790,73798,42391,70194,57624,72038,66547,61243,80929,55031,95823,55967,142637,62939,241382,80444,130520,50759,111187,20367,131667,13071,106632,8984,48261,5845,3933,1610,0,21,0,0,0,0
1호선,종로3가,147,11,5391,2644,4304,13250,6629,28751,11585,80384,16920,92488,27554,84083,41989,94868,55151,97914,71628,96491,80450,85612,89962,69894,102152,61219,105841,59006,125597,64162,95255,37906,69509,15558,75425,11167,62102,8868,25307,6237,2713,2721,1,40,0,0,0,0
1호선,종로5가,37,1,2137,3678,3070,16347,5698,42693,9575,125971,14722,80708,25044,66594,35059,73159,47686,73661,60969,69039,71158,62678,74750,55445,78973,49864,90851,45269,127528,41966,76098,26265,51876,12451,42201,8533,32398,5943,10952,3881,728,1148,1,6,0,0,0,0
1호선,동대문,601,9,15738,2476,11707,7631,19490,15025,25571,32320,24440,30915,22414,35454,25030,40974,29794,41077,33523,39968,35179,38225,36199,36067,36279,33975,36629,33232,34937,33591,25712,34626,21020,25069,19430,19240,17433,18610,10195,14350,1397,5005,3,67,1,2,0,0
1호선,신설동,324,33,10080,2184,10567,8572,21876,27827,31983,74469,24578,43506,22493,28062,25314,26437,26846,25220,29685,26262,29310,25038,32018,26115,35252,25193,44813,31463,70705,33799,33294,27562,21326,18341,19962,18063,14631,17669,6675,12663,599,3269,2,19,0,0,0,0
1호선,제기동,341,8,4995,2218,9088,8687,23787,20336,35579,50518,26268,45277,29014,42949,37935,54525,46138,59395,52563,65524,58233,59928,63684,52952,62548,40599,56005,35873,54095,31862,29471,24761,19333,14944,13847,13311,9764,12828,4292,8890,318,1830,0,0,0,0,0,0
1호선,청량리(서울시립대입구),1327,5,11994,2985,18079,11594,48056,21992,65554,45445,44713,47366,37731,43083,44003,54336,50195,63649,54088,71671,59206,69007,67452,62519,75436,58136,69706,60975,61329,68715,39078,53615,30166,33214,24294,30073,17131,30912,8130,20783,468,6040,0,0,0,0,0,0
1호선,동묘앞,115,5,3656,829,3949,4065,7518,12315,10180,32197,10001,19975,11107,24134,16873,34682,24094,40752,32568,46315,38626,44333,44029,37483,47270,27183,43069,20378,36081,13380,16075,9216,8250,6720,7088,6672,5525,6873,2691,4996,311,3290,0,224,1,0,0,0
2호선,시청,79,5,1459,1870,2570,17655,6115,65483,9769,233031,14322,88196,21125,32843,27074,32462,27513,32632,33907,38257,40377,33560,47054,28585,54218,25002,82351,26422,185075,26255,75280,16330,51736,9305,47338,8714,31758,8890,13005,6050,1628,2020,4,124,1,0,0,0
2호선,을지로입구,91,1,3074,3192,3767,29765,9065,124769,18259,339455,27093,163344,36165,93577,45963,102765,52543,80126,67782,84164,77019,74648,94671,72295,109125,71442,149019,74762,300593,80907,159363,52103,147046,30790,124385,24070,88337,20684,39881,12156,4424,3776,7,573,0,0,0,0
2호선,을지로3가,10,0,1107,1925,2787,17806,6054,66442,12469,159518,16756,85030,21012,43403,24146,34301,25256,30643,31070,34844,35334,30047,40051,28389,46464,28645,69164,31236,138086,35381,70303,22753,47428,12941,48154,9931,38422,9756,19091,6693,3378,2109,9,97,0,0,0,0
2호선,을지로4가,16,0,1036,878,1728,12208,3556,23076,7285,65818,11815,41180,15238,27033,16172,24884,18542,24095,21093,22785,24807,22088,28524,20708,32278,18054,42575,16663,63782,14453,38374,9812,18995,6420,14364,6119,10307,6392,4815,4561,963,1351,3,67,0,0,0,0
2호선,동대문역사문화공원,413,13,11680,1027,7796,8815,9302,29733,16392,67735,16512,43430,18715,40518,22281,39051,25625,40561,29806,46426,35595,44339,47031,41728,55321,39364,60544,40896,69284,46302,49193,54094,37438,37687,34342,29182,32237,22460,22265,15045,3665,5754,5,252,1,0,0,0
2호선,신당,63,1,6680,1322,12672,9834,30731,19720,47920,44601,30413,28357,22595,21741,22452,22841,24966,23824,26947,25575,27194,26425,27178,28453,31011,31279,35965,36808,41599,48368,28130,39118,20252,25089,19130,23048,14164,23076,8032,15286,1281,5102,17,180,0,0,0,0
2호선,상왕십리,30,1,6373,840,13686,6241,41299,12418,67813,42684,35957,22236,24396,15238,22974,13291,23464,15390,23022,18042,20573,18395,21353,21442,23786,25245,26845,31955,33203,49100,22880,40155,15179,26198,14159,24759,10225,25176,4281,17072,601,5519,2,83,0,0,0,0
2호선,왕십리(성동구청),648,6,8215,1140,12454,6823,32405,13910,57860,32647,36611,25234,24864,17919,25615,19972,29310,22181,31555,24475,30365,23764,33039,26768,40281,31577,47443,41790,52594,67103,36276,51528,35045,31224,40501,27371,40676,27929,28147,20072,4922,7843,17,202,0,0,0,0
2호선,한양대,4,0,1310,348,2669,6346,6284,16084,9980,81404,8092,80738,9160,61920,12948,22737,18487,38466,19268,27138,26761,22963,34584,16671,48211,14128,60069,18706,47042,25450,24313,13059,21243,7694,25853,6860,16979,6701,8808,4928,1701,1696,6,76,0,0,0,0
2호선,뚝섬,27,0,4578,2031,10037,14885,25892,30204,35654,121401,22910,60611,18351,28122,19559,22200,21863,23777,23678,25038,24325,24455,26808,25080,32929,26604,44241,32223,101641,47449,52325,32909,29553,19176,31868,17645,21288,17611,8481,11927,1311,4088,9,136,1,0,0,0
2호선,성수,86,15,6050,4473,11273,28320,28704,65492,37562,263838,30076,99462,26047,42421,27169,34561,29798,34140,34693,38097,38564,37977,42171,38863,49356,39328,82313,44005,191825,53037,91307,40305,50695,24121,48212,21375,36298,18762,15931,13172,2165,6785,8,987,0,0,0,0
2호선,건대입구,336,12,20499,1945,26620,16978,64563,29311,111405,79212,76034,56724,48799,59519,46845,60126,55635,72910,63497,81411,64952,82259,71178,87401,79921,102993,93969,137449,110989,204113,89788,166936,92237,93966,108633,83164,116770,73844,74133,47109,11474,15681,9,1241,0,0,0,0
2호선,구의(광진구청),62,0,14485,1440,27206,10838,75959,16360,125841,43228,75084,27105,41690,23253,35297,22727,37347,24236,37563,29175,33735,31756,31757,38087,35514,44621,39036,57804,48689,90451,28348,79312,22077,51850,20329,52103,18341,50141,10410,31294,1729,9628,3,386,0,0,0,0
2호선,강변(동서울터미널),34,2,9828,4009,31090,31131,101311,37957,147746,62350,115201,59440,91019,53922,85620,55184,81838,61346,80400,71277,74599,79077,75169,91392,80682,101479,88168,114640,97905,152442,79981,127109,64229,87023,59585,76473,37888,71396,15158,40291,2111,9951,15,257,0,0,0,0
